file,cls,mode,method,acc,dice,iou,prec,rec
benign_benign_414.png,benign,auto,Watershed,0.3076324462890156,0.47051822117454867,0.3076324462890156,0.3076324462890156,0.999999999999504
benign_benign_414.png,benign,auto,Otsu,0.2943267822265176,0.201798443190217,0.1122223715278229,0.1547461485520264,0.28996577550702346
benign_benign_414.png,benign,auto,RegionGrowing,0.6224060058592801,0.11119890812437641,0.05887274663419074,0.2015362582994382,0.0767819056594034
benign_benign_412.png,benign,oracle,Watershed,0.4010925292968138,0.5725425279344196,0.4010925292968138,0.4010925292968138,0.9999999999996195
benign_benign_412.png,benign,oracle,Otsu,0.6245117187499047,0.5851931764546247,0.413620549968924,0.5253949996971593,0.6603515179180323
benign_benign_412.png,benign,oracle,RegionGrowing,0.6007080078124084,0.00893803969095253,0.004489081640415244,0.9999999999152543,0.004489081640415244
benign_benign_412.png,benign,auto,Watershed,0.4010925292968138,0.5725425279344196,0.4010925292968138,0.4010925292968138,0.9999999999996195
benign_benign_412.png,benign,auto,Otsu,0.6245117187499047,0.5851931764546247,0.413620549968924,0.5253949996971593,0.6603515179180323
benign_benign_412.png,benign,auto,RegionGrowing,0.6239013671874049,0.18937051897645552,0.10458822247244356,0.6987864077652942,0.1095259834131821
normal_normal_6.png,normal,oracle,Watershed,1.0,1.0,1.0,1.0,1.0
normal_normal_6.png,normal,oracle,Otsu,1.0,1.0,1.0,1.0,1.0
normal_normal_6.png,normal,oracle,RegionGrowing,1.0,1.0,1.0,1.0,1.0
normal_normal_6.png,normal,auto,Watershed,0.2593231201171479,0.0,0.0,0.0,0.0
normal_normal_6.png,normal,auto,Otsu,0.6134948730467814,0.0,0.0,0.0,0.0
normal_normal_6.png,normal,auto,RegionGrowing,0.9318847656248579,0.0,0.0,0.0,0.0
benign_benign_251.png,benign,oracle,Watershed,0.9873504638670368,0.7445300462226672,0.5930289641600736,0.6491133798997899,0.87283236993589
benign_benign_251.png,benign,oracle,Otsu,0.9758758544920386,0.6091470951777277,0.4379665837168931,0.46298384065966564,0.8901734103981924
benign_benign_251.png,benign,oracle,RegionGrowing,0.9907073974607864,0.7230559345124009,0.5662393162352832,0.9754601226874177,0.5744219653137687
benign_benign_251.png,benign,auto,Watershed,0.021118164062496777,0.04136282127913309,0.021118164062496777,0.021118164062496777,0.9999999999927747
benign_benign_251.png,benign,auto,Otsu,0.43798828124993316,0.06127026200426617,0.03160330230845254,0.031755257317966884,0.8684971098203144
benign_benign_251.png,benign,auto,RegionGrowing,0.8692169189451799,0.13781309727377747,0.07400605012956567,0.08005141989005486,0.49494219652821575
malignant_malignant_24.png,malignant,oracle,Watershed,0.7654724121092582,0.6220987411485489,0.45148281645892313,0.47444215263436174,0.9031912615114562
malignant_malignant_24.png,malignant,oracle,Otsu,0.7872924804686299,0.6342743204951636,0.4644229291530412,0.5013895225847188,0.8629970728915092
malignant_malignant_24.png,malignant,oracle,RegionGrowing,0.8073577880858144,0.40579846566555006,0.2545465281056598,0.5954419889494538,0.3077746840863084
